,CurrentRelationshipStatus,RelationshipLength,Frequency in separate beds,Occupation,Gender,Age,Household income,Education,Location,Gender_code,Age_code,Household income_code,Education_code,RelationshipLength_code,Frequency in separate beds_code,sleep together?
1,"Single, but cohabiting with a significant other",1-5 years,Once a year or less,Student,Male,18-29,"$0 - $24,999",Some college or Associate degree,Pacific,0,1,1,3,1.0,1.0,0.0
2,"Single, but cohabiting with a significant other",1-5 years,A few times per month,Healthcare Support Occupations,Male,18-29,Did not disclose,Bachelor degree,South Atlantic,0,1,0,4,1.0,3.0,0.0
3,Married,1-5 years,Never,Legal Occupations,Male,18-29,"$150,000+",Graduate degree,South Atlantic,0,1,5,5,1.0,0.0,1.0
4,Married,1-5 years,Never,"Life, Physical, and Social Science Occupations",Male,18-29,"$25,000 - $49,999",Bachelor degree,Middle Atlantic,0,1,2,4,1.0,0.0,1.0
5,Married,1-5 years,Never,Office and Administrative Support Occupations,Male,18-29,"$100,000 - $149,999",Graduate degree,South Atlantic,0,1,4,5,1.0,0.0,1.0
6,"Single, but cohabiting with a significant other",1-5 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,18-29,"$0 - $24,999",High school degree,East North Central,0,1,1,2,1.0,0.0,1.0
7,"Single, but cohabiting with a significant other",Less than 1 year,Every night,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,0.0,5.0,0.0
8,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,0.0,1.0
9,Married,More than 20 years,Never,Technology Consultant,Male,45-60,Did not disclose,Graduate degree,Mountain,0,3,0,5,5.0,0.0,1.0
10,Married,More than 20 years,Never,retired,Female,> 60,"$25,000 - $49,999",High school degree,West North Central,1,4,2,2,5.0,0.0,1.0
11,"Single, but cohabiting with a significant other",6-10 years,Never,Building and Grounds Cleaning and Maintenance Occupations,Male,18-29,"$25,000 - $49,999",Bachelor degree,East North Central,0,1,2,4,2.0,0.0,1.0
