,StartDate,EndDate,CurrentRelationshipStatus,RelationshipLength,Frequency in separate beds,Occupation,Gender,Age,Household income,Education,Location,Gender_code,Age_code,Household income_code,Education_code
0,7/10/14 15:44,7/10/14 15:49,Married,1-5 years,Never,Legal Occupations,Male,18-29,"$150,000+",Graduate degree,South Atlantic,0,1,5,5
1,7/10/14 13:47,7/10/14 13:47,Married,1-5 years,Never,"Life, Physical, and Social Science Occupations",Male,18-29,"$25,000 - $49,999",Bachelor degree,Middle Atlantic,0,1,2,4
2,7/10/14 13:13,7/10/14 13:14,Married,1-5 years,Never,Office and Administrative Support Occupations,Male,18-29,"$100,000 - $149,999",Graduate degree,South Atlantic,0,1,4,5
3,7/10/14 4:29,7/10/14 4:30,"Single, but cohabiting with a significant other",1-5 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,18-29,"$0 - $24,999",High school degree,East North Central,0,1,1,2
4,7/10/14 2:02,7/10/14 2:03,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
5,7/10/14 1:41,7/10/14 1:43,Married,More than 20 years,Never,Technology Consultant,Male,45-60,Did not disclose,Graduate degree,Mountain,0,3,0,5
6,7/9/14 20:01,7/10/14 0:47,Married,More than 20 years,Never,retired,Female,> 60,"$25,000 - $49,999",High school degree,West North Central,1,4,2,2
7,7/10/14 0:19,7/10/14 0:20,"Single, but cohabiting with a significant other",6-10 years,Never,Building and Grounds Cleaning and Maintenance Occupations,Male,18-29,"$25,000 - $49,999",Bachelor degree,East North Central,0,1,2,4
8,7/9/14 23:44,7/9/14 23:44,Married,16-20 years,Never,Protective Service Occupations,Male,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic,0,2,3,4
9,7/9/14 23:41,7/9/14 23:42,Married,6-10 years,Never,Business and Financial Operations Occupations,Male,30-44,"$100,000 - $149,999",Graduate degree,Pacific,0,2,4,5
10,7/9/14 23:39,7/9/14 23:40,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Male,30-44,"$100,000 - $149,999",Some college or Associate degree,New England,0,2,4,3
11,7/9/14 23:35,7/9/14 23:42,In a domestic partnership or civil union,1-5 years,Never,"Installation, Maintenance, and Repair Occupations",Male,30-44,Did not disclose,Bachelor degree,Mountain,0,2,0,4
