,CurrentRelationshipStatus,RelationshipLength,Frequency in separate beds,Occupation,Gender,Age,Household income,Education,Location,Gender_code,Age_code,Household income_code,Education_code,sleep together?
0,"Single, but cohabiting with a significant other",1-5 years,Once a year or less,Student,Male,18-29,"$0 - $24,999",Some college or Associate degree,Pacific,0,1,1,3,0
1,"Single, but cohabiting with a significant other",1-5 years,A few times per month,Healthcare Support Occupations,Male,18-29,Did not disclose,Bachelor degree,South Atlantic,0,1,0,4,0
2,Married,1-5 years,Never,Legal Occupations,Male,18-29,"$150,000+",Graduate degree,South Atlantic,0,1,5,5,1
3,Married,1-5 years,Never,"Life, Physical, and Social Science Occupations",Male,18-29,"$25,000 - $49,999",Bachelor degree,Middle Atlantic,0,1,2,4,1
4,Married,1-5 years,Never,Office and Administrative Support Occupations,Male,18-29,"$100,000 - $149,999",Graduate degree,South Atlantic,0,1,4,5,1
5,"Single, but cohabiting with a significant other",1-5 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,18-29,"$0 - $24,999",High school degree,East North Central,0,1,1,2,1
6,"Single, but cohabiting with a significant other",Less than 1 year,Every night,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,0
7,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
8,Married,More than 20 years,Never,Technology Consultant,Male,45-60,Did not disclose,Graduate degree,Mountain,0,3,0,5,1
9,Married,More than 20 years,Never,retired,Female,> 60,"$25,000 - $49,999",High school degree,West North Central,1,4,2,2,1
10,"Single, but cohabiting with a significant other",6-10 years,Never,Building and Grounds Cleaning and Maintenance Occupations,Male,18-29,"$25,000 - $49,999",Bachelor degree,East North Central,0,1,2,4,1
11,Married,16-20 years,Never,Protective Service Occupations,Male,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic,0,2,3,4,1
12,Married,6-10 years,Once a month or less,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,30-44,"$100,000 - $149,999",Bachelor degree,West North Central,0,2,4,4,0
13,Married,6-10 years,Never,Business and Financial Operations Occupations,Male,30-44,"$100,000 - $149,999",Graduate degree,Pacific,0,2,4,5,1
14,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Male,30-44,"$100,000 - $149,999",Some college or Associate degree,New England,0,2,4,3,1
15,Married,16-20 years,A few times per week,Healthcare Practitioners and Technical Occupations,Male,30-44,"$50,000 - $99,999",Graduate degree,Mountain,0,2,3,5,0
16,Married,6-10 years,Once a year or less,fire service,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Mountain,0,2,3,3,0
17,In a domestic partnership or civil union,1-5 years,A few times per week,Aviation customer service,Male,30-44,"$100,000 - $149,999",Graduate degree,South Atlantic,0,2,4,5,0
18,In a domestic partnership or civil union,1-5 years,Never,"Installation, Maintenance, and Repair Occupations",Male,30-44,Did not disclose,Bachelor degree,Mountain,0,2,0,4,1
19,Married,11-15 years,Never,Legal Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,0,2,3,3,1
20,Married,6-10 years,Never,"Education, Training, and Library Occupations",Male,18-29,"$50,000 - $99,999",Bachelor degree,South Atlantic,0,1,3,4,1
21,Married,11-15 years,Never,Construction and Extraction Occupations,Male,30-44,"$25,000 - $49,999",High school degree,East South Central,0,2,2,2,1
22,Married,1-5 years,Never,Construction and Extraction Occupations,Male,30-44,"$50,000 - $99,999",Bachelor degree,Mountain,0,2,3,4,1
23,Married,16-20 years,Never,Office and Administrative Support Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Pacific,0,2,3,3,1
24,"Single, but cohabiting with a significant other",1-5 years,Never,Did not disclose,Male,18-29,Did not disclose,Did not disclose,Mountain,0,1,0,0,1
25,Married,11-15 years,Never,Retired Military,Male,30-44,"$50,000 - $99,999",Bachelor degree,East North Central,0,2,3,4,1
26,In a domestic partnership or civil union,11-15 years,Never,Sales and Related Occupations,Male,30-44,"$100,000 - $149,999",Graduate degree,South Atlantic,0,2,4,5,1
27,"Single, but cohabiting with a significant other",1-5 years,Never,"Education, Training, and Library Occupations",Male,18-29,"$50,000 - $99,999",Bachelor degree,Pacific,0,1,3,4,1
28,Married,6-10 years,Never,Computer and Mathematical Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,0,2,3,3,1
29,Married,1-5 years,Never,Business and Financial Operations Occupations,Male,30-44,"$50,000 - $99,999",Bachelor degree,Mountain,0,2,3,4,1
30,Married,1-5 years,A few times per week,"Education, Training, and Library Occupations",Male,30-44,"$50,000 - $99,999",Graduate degree,Mountain,0,2,3,5,0
31,Married,11-15 years,A few times per month,Computer and Mathematical Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,Mountain,0,2,4,4,0
32,"Single, but cohabiting with a significant other",1-5 years,Never,Legal Occupations,Male,18-29,"$100,000 - $149,999",Graduate degree,Pacific,0,1,4,5,1
33,Married,11-15 years,Never,Construction and Extraction Occupations,Male,30-44,Did not disclose,Bachelor degree,New England,0,2,0,4,1
34,Married,16-20 years,Once a year or less,"Education, Training, and Library Occupations",Male,30-44,Did not disclose,Bachelor degree,Mountain,0,2,0,4,0
35,"Single, but cohabiting with a significant other",6-10 years,Once a month or less,Data Entry for a Marketing Company,Male,30-44,"$50,000 - $99,999",Bachelor degree,East North Central,0,2,3,4,0
36,Married,16-20 years,A few times per week,Sales and Related Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,East North Central,0,2,4,4,0
37,Married,11-15 years,A few times per week,Transportation and Materials Moving Occupations,Male,30-44,Did not disclose,Bachelor degree,South Atlantic,0,2,0,4,0
38,Married,6-10 years,Once a month or less,Computer and Mathematical Occupations,Male,30-44,"$100,000 - $149,999",Some college or Associate degree,New England,0,2,4,3,0
39,Married,11-15 years,Never,Building and Grounds Cleaning and Maintenance Occupations,Male,30-44,"$25,000 - $49,999",High school degree,Middle Atlantic,0,2,2,2,1
40,Married,11-15 years,Once a month or less,"Education, Training, and Library Occupations",Male,30-44,"$50,000 - $99,999",Graduate degree,East North Central,0,2,3,5,0
41,Married,11-15 years,Never,Computer and Mathematical Occupations,Male,30-44,"$50,000 - $99,999",Graduate degree,East North Central,0,2,3,5,1
