,StartDate,EndDate,CurrentRelationshipStatus,RelationshipLength,Frequency in separate beds,YouSleepAt,PartnerSleepAt,Reason_One of us snores,Reason_One of us makes frequent bathroom trips in the night,Reason_One of us is sick,Reason_We are no longer physically intimate,Reason_We have different temperature preferences for the room,Reason_We have had an argument or fight,Reason_Not enough space,Reason_Do not want to share the covers,Reason_One of us needs to sleep with a child,Reason_Night working/very different sleeping times,Reason_Other,First time in separate beds,Sleeping in separate beds helps us to stay together,We sleep better when we sleep in separate beds,Our sex life has improved as a result of sleeping in separate beds,Occupation,Gender,Age,Household income,Education,Location,Household income_code,Age_code,Education_code,Gender_code,Sleeping in separate beds helps us to stay together_code,We sleep better when we sleep in separate beds_code,Our sex life has improved as a result of sleeping in separate beds_code
1,7/10/14 18:37,7/10/14 18:39,"Single, but cohabiting with a significant other",1-5 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,0,0,0,0,0,1,Within the first 1-5 years of our relationship,Strongly disagree,Somewhat agree,Strongly disagree,Student,Male,18-29,"$0 - $24,999",Some college or Associate degree,Pacific,1,1,3,0,1.0,4.0,1.0
2,7/10/14 15:54,7/10/14 15:56,"Single, but cohabiting with a significant other",1-5 years,A few times per month,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",Separate bedroom,1,1,1,0,0,1,0,1,0,0,0,Immediately/ We've always slept in separate beds,Somewhat agree,Strongly agree,Strongly disagree,Healthcare Support Occupations,Male,18-29,Did not disclose,Bachelor degree,South Atlantic,0,1,4,0,4.0,5.0,1.0
7,7/10/14 2:44,7/10/14 2:44,"Single, but cohabiting with a significant other",Less than 1 year,Every night,,,0,0,0,0,0,0,0,0,0,0,0,,,,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,,,
13,7/9/14 23:42,7/9/14 23:45,Married,6-10 years,Once a month or less,On the couch/chair,Separate bedroom,1,0,0,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,30-44,"$100,000 - $149,999",Bachelor degree,West North Central,4,2,4,0,3.0,3.0,2.0
16,7/9/14 23:38,7/9/14 23:42,Married,16-20 years,A few times per week,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,1,0,0,0,0,0,1,Within 11-15 years of our relationship,Strongly agree,Strongly agree,Somewhat agree,Healthcare Practitioners and Technical Occupations,Male,30-44,"$50,000 - $99,999",Graduate degree,Mountain,3,2,5,0,5.0,5.0,4.0
17,7/9/14 23:38,7/9/14 23:41,Married,6-10 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,0,0,0,1,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Strongly disagree,fire service,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Mountain,3,2,3,0,3.0,2.0,1.0
18,7/9/14 23:35,7/9/14 23:37,In a domestic partnership or civil union,1-5 years,A few times per week,Other (please specify),Other (please specify),1,0,1,1,0,0,0,0,0,0,1,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Aviation customer service,Male,30-44,"$100,000 - $149,999",Graduate degree,South Atlantic,4,2,5,0,3.0,4.0,2.0
31,7/9/14 23:16,7/9/14 23:18,Married,1-5 years,A few times per week,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,0,0,0,0,0,0,0,0,1,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,"Education, Training, and Library Occupations",Male,30-44,"$50,000 - $99,999",Graduate degree,Mountain,3,2,5,0,3.0,3.0,1.0
32,7/9/14 23:15,7/9/14 23:18,Married,11-15 years,A few times per month,Separate bedroom,Separate bedroom,0,0,0,0,0,0,0,0,1,1,0,Immediately/ We've always slept in separate beds,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Computer and Mathematical Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,Mountain,4,2,4,0,3.0,3.0,3.0
35,7/9/14 23:08,7/9/14 23:11,Married,16-20 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,0,0,0,1,0,0,0,0,0,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,"Education, Training, and Library Occupations",Male,30-44,Did not disclose,Bachelor degree,Mountain,0,2,4,0,1.0,1.0,1.0
36,7/9/14 23:01,7/9/14 23:03,"Single, but cohabiting with a significant other",6-10 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,0,1,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Data Entry for a Marketing Company,Male,30-44,"$50,000 - $99,999",Bachelor degree,East North Central,3,2,4,0,3.0,4.0,2.0
37,7/9/14 22:59,7/9/14 23:01,Married,16-20 years,A few times per week,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,1,0,1,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Sales and Related Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,East North Central,4,2,4,0,3.0,2.0,2.0
38,7/9/14 22:58,7/9/14 23:00,Married,11-15 years,A few times per week,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,0,0,0,0,0,0,0,0,0,1,0,Within 11-15 years of our relationship,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Transportation and Materials Moving Occupations,Male,30-44,Did not disclose,Bachelor degree,South Atlantic,0,2,4,0,3.0,2.0,1.0
39,7/9/14 22:58,7/9/14 23:01,Married,6-10 years,Once a month or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,0,0,1,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Computer and Mathematical Occupations,Male,30-44,"$100,000 - $149,999",Some college or Associate degree,New England,4,2,3,0,2.0,2.0,3.0
41,7/9/14 22:53,7/9/14 22:55,Married,11-15 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",Separate bedroom,0,0,1,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat disagree,Strongly disagree,"Education, Training, and Library Occupations",Male,30-44,"$50,000 - $99,999",Graduate degree,East North Central,3,2,5,0,2.0,2.0,1.0
43,7/9/14 22:53,7/9/14 22:56,"Single, but cohabiting with a significant other",1-5 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,1,0,0,0,1,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Business and Financial Operations Occupations,Male,18-29,"$50,000 - $99,999",Bachelor degree,New England,3,1,4,0,3.0,2.0,1.0
44,7/9/14 22:47,7/9/14 22:51,Married,11-15 years,Once a month or less,Other (please specify),"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,1,0,0,Within 11-15 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Computer and Mathematical Occupations,Male,30-44,"$150,000+",Graduate degree,Pacific,5,2,5,0,1.0,1.0,1.0
46,7/9/14 22:33,7/9/14 22:35,"Single, but cohabiting with a significant other",6-10 years,Once a year or less,Separate bedroom,Separate bedroom,0,0,0,0,0,1,0,0,0,0,0,Within the first 1-5 years of our relationship,Somewhat agree,Strongly agree,Strongly disagree,Sales and Related Occupations,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,Mountain,2,1,3,0,4.0,5.0,1.0
47,7/9/14 22:32,7/9/14 22:35,Married,More than 20 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,0,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,"Education, Training, and Library Occupations",Male,30-44,Did not disclose,Graduate degree,West North Central,0,2,5,0,2.0,3.0,3.0
